职位名称,地区,薪水,工作年限,学历,能力要求,公司名字,公司标签,福利待遇,详情链接
web 前端工程师,深圳·龙华区·民治,8-11K,1-3年,本科,",JavaScript,CSS,Vue,小程序",互真创,",计算机软件,0-20人",
软件测试工程师,深圳·龙岗区·坂田,7-9K,1-3年,大专,",测试工程师,软件测试,性能测试",中勘天成广东分公司,",计算机软件,不需要融资,20-99人",年终奖，餐补，定期体检，五险一金，零食下午茶，全勤奖，带薪年假
软件测试工程师,深圳·南山区·科技园,15-30K·13薪,5-10年,本科,",测试工程师,自动化测试,接口测试,黑盒测试,服务器配置,计算机软件",顺丰速运有限公司,",物流/仓储,已上市,10000人以上",节假日加班费，带薪年假，工龄奖，法定节假日三薪，宿舍有空调，免费工装，餐补，员工旅游，底薪加提成，包住，绩效奖金，节日福利，生日福利，加班补助，团建聚餐，五险一金，生日礼物，保底工资，通讯补贴
软件测试工程师,深圳·南山区·西丽,20-21K·14薪,经验不限,本科,",测试,测试工程师,性能测试,功能测试,黑盒测试,测试开发,灰盒测试,通信测试",Tenda腾达,",通信/网络设备,未融资,1000-9999人",餐补，带薪年假，交通补助，年终奖，免费班车，零食下午茶，节日福利，住房补贴，五险一金，全勤奖
软件测试工程师,深圳·南山区·科技园,15-30K,1-3年,本科,",测试,测试工程师,软件测试,性能测试,功能测试,灰盒测试,web端测试",Shopee,",电子商务,已上市,1000-9999人",零食下午茶，带薪年假，定期体检，补充医疗保险，五险一金
软件测试工程师,深圳·福田区·岗厦,11-18K,3-5年,大专,",测试,测试工程师,自动化测试,功能测试,接口测试,接口自动化测试",诊宝,",医疗健康,未融资,0-20人",加班补助，餐补，带薪年假，零食下午茶，五险一金，年终奖
软件测试工程师,深圳·光明区·光明,11-20K,5-10年,本科,",测试工程师,软件测试,自动化测试,系统测试",德力凯,",医疗健康,100-499人",加班补助，年终奖，节日福利，五险一金，带薪年假，员工旅游，定期体检
软件测试工程师,深圳·南山区·西丽,12-18K,3-5年,本科,",测试工程师,软件测试,手机测试,自动化测试,移动端测试,系统测试,Python,Shell",TCL实业,",智能硬件,不需要融资,10000人以上",免费班车，五险一金，零食下午茶，年终奖，员工旅游，定期体检，带薪年假
软件测试工程师,深圳·南山区·西丽,5-7K,经验不限,大专,",测试,测试工程师,软件测试,计算机软件,IT服务",谷乐,",广告营销,20-99人",
软件测试工程师,深圳·南山区·科技园,8-10K,1-3年,本科,",测试工程师,软件测试,性能测试",中油智能(深圳)...,",移动互联网,未融资,20-99人",周末双休，零食下午茶，五险一金，领导nice，员工旅游，交通便利
软件测试工程师,深圳·宝安区·翻身,10-15K,经验不限,本科,",测试工程师,软件测试,自动化测试,功能测试,系统测试",金桂道,",互联网金融,天使轮,100-499人",节日福利，补充医疗保险，员工旅游，餐补，全勤奖，年终奖，股票期权，加班补助，零食下午茶，带薪年假，通讯补贴，定期体检，五险一金
软件测试工程师,深圳·宝安区·新安,8-10K,1-3年,大专,",测试,测试工程师,软件测试,Android,计算机软件",久嘉智能,",电子/半导体/集成电路,不需要融资,20-99人",员工旅游，定期体检，年终奖，零食下午茶，五险一金，带薪年假
软件测试工程师,深圳·南山区·南头,7-12K,3-5年,本科,",测试工程师,软件测试,自动化测试,web端测试",域威智能,",智能硬件,0-20人",
软件测试工程师,深圳·龙岗区·龙岗宝荷,5-8K,3-5年,本科,",软件测试,计算机软件,测试工程师,测试开发,功能测试,自动化测试,服务端测试",粤电新能源,",汽车零部件,不需要融资,20-99人",带薪年假，员工旅游，零食下午茶，节日福利，五险一金，股票期权，年终奖
软件测试工程师,深圳·龙岗区·坂田,13-26K,经验不限,本科,",云计算,自动化测试,web端测试,测试工程师,黑盒测试,白盒测试,渗透测试,功能测试",华为,",计算机软件,不需要融资,10000人以上",年终奖，零食下午茶，补充医疗保险，加班补助，股票期权，五险一金，员工旅游，节日福利，定期体检，餐补
软件测试工程师,深圳·南山区·大学城,7-10K,1-3年,本科,",测试工程师",国汇融,",计算机软件,不需要融资,100-499人",节日福利，五险一金，带薪年假，定期体检，全勤奖
软件测试工程师,深圳·龙华区·龙华,15-20K,3-5年,本科,",测试,测试工程师,自动化测试",普盈财务,",财务/审计/税务,20-99人",
软件测试工程师,深圳·坪山区·坪山,12-22K·13薪,5-10年,本科,",测试,测试工程师,软件测试,系统测试",传世生物医疗,",医疗设备/器械,B轮,20-99人",年终奖，定期体检，带薪年假，五险一金
软件测试工程师,深圳·南山区·科技园,11-20K,3-5年,大专,",测试工程师,自动化测试",明源云,",计算机软件,已上市,1000-9999人",电脑补贴，零食下午茶，节庆礼包/金，通讯补贴，交通补助，带薪年假，节日福利，五险一金，定期体检，股票期权，补充商业保险，员工旅游
